Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",PANASONIC_B_334,2,10uF,
"C10, C13, C14, C15, C17, C18, C19, C20, C25, C26, C29, C30, C33, C37, C7, C8, C9",C0603_348,17,100n,
"C11, C12, C5, C6",C0603_348,4,22p,
"C16, C21, C22",C0603_348,3,470n,
"C2, C3",PANASONIC_C_334,2,22uF,
"C23, C24",C1206K_348,2,10uF,
"C27, C28",C0603_348,2,1uF,
"C31, C32, C34, C35",C0603_348,4,330p-560p,
C36,C0603_348,1,10uF,
C40,PANASONIC_A,1,10uF,
"CV1, CV2, CV3, CV4, CV_A0, CV_B0, CV_C0, CV_D0, TR1, TR2, TR3, TR4",OG-PJ301_WQP_PJ_301M6_NO_HOLE,12,OG-PJ301_PJ301_THONKICONN,
"D1, D2",DIODE_SOD123,2,1N5819HW,
"ENC_L0, ENC_R0",PEC11R-SLOTED,2,PEC11RPEC11R-SLOTED,
"IC1, IC2",SO08_262,2,OPA2172IDR,
IC3,DBZ_R-PDSO-G3,1,LM4040-5V,
"IC4, IC5",SOIC8,2,MCP6002SMT,
IC6,SOT95P230X110-3N,1,MIC803-46D2VM3TR,
IC7,SOT23-5_262,1,LM321MF,
J$1,POWER_10,1,POWER_SIMPLE10,
L1,WE-LQ_M_448,1,10uH,
OLED0,1U_1.3OLED_2,1,1U_1.3OLED1U_1.3OLED_2,
"Q1, Q2, Q3, Q4",SOT-23_477,4,MMBT3904LT1G,
"R1, R3, R5, R6",R0603_334,4,220R,
"R10, R11, R12, R9",R0603_334,4,24K,
"R13, R43",R0603_334,2,10k,
"R14, R21, R28, R39, R42",R0603_334,5,75k,
"R15, R17, R47",R0603_334,3,510R,
"R16, R19, R2, R24, R26, R29, R31, R34, R37, R38, R4, R7, R8",R0603_334,13,100k,
R18,R0603_334,1,2K,
"R20, R22, R27, R30, R32, R35, R36, R40",R0603_334,8,33K,
"R23, R25, R33, R41, R44, R45",R0603_334,6,100R,
"SW_B0, SW_T0, SW_VOR0",TACTILE-PTH,3,,
TEENSY3.2,TEENSY_3.2_USB_DAC_RESET,1,TEENSY_3.2_USB_DAC_RESET,
U$1,MICRO-USB-BOARD,1,USB_BOARD,
U1,SOP65P640X120-16N,1,DAC8565IAPW,
U2,SOT95P280X100-5N,1,ADP150AUJZ-3.3-R7,
U3,SOT223,1,LD1117S50TR,
