Designator,Mid X,Mid Y,Rotation,Layer
C1,128.6511,-112.6636,180.0,bottom
C10,212.3511,-103.8036,0.0,bottom
C11,208.7511,-97.7536,0.0,bottom
C12,207.3011,-112.7536,0.0,bottom
C13,200.1511,-104.4436,180.0,bottom
C14,199.4811,-115.7536,270.0,bottom
C15,187.9811,-106.6836,0.0,bottom
C16,191.0011,-101.7536,90.0,bottom
C17,182.5011,-92.7536,180.0,bottom
C18,184.7711,-112.6536,270.0,bottom
C19,180.8011,-116.3236,0.0,bottom
C2,165.1311,-108.2936,90.0,bottom
C20,153.04409,-96.278063,0.0,bottom
C21,152.4811,-110.8636,180.0,bottom
C22,148.5011,-110.8436,0.0,bottom
C23,140.8511,-93.9036,90.0,bottom
C24,137.9011,-103.7536,0.0,bottom
C25,137.7511,-100.5036,0.0,bottom
C26,137.3011,-92.3036,0.0,bottom
C27,127.0511,-103.9536,270.0,bottom
C28,131.4011,-99.5036,180.0,bottom
C29,131.0011,-93.3536,180.0,bottom
C3,171.4211,-108.5136,270.0,bottom
C30,104.8011,-104.1036,270.0,bottom
C31,103.2511,-117.6036,0.0,bottom
C32,100.1511,-104.1036,270.0,bottom
C33,86.3511,-104.1036,90.0,bottom
C34,84.0511,-104.1036,90.0,bottom
C35,76.2511,-109.9036,0.0,bottom
C36,184.7711,-109.3536,270.0,bottom
C37,191.8011,-92.6536,0.0,bottom
C4,131.9111,-108.3536,270.0,bottom
C40,188.0311,-111.2536,90.0,bottom
C5,218.1011,-97.1036,90.0,bottom
C6,217.2511,-114.3536,90.0,bottom
C7,214.3011,-106.4536,0.0,bottom
C8,214.2511,-92.5036,0.0,bottom
C9,212.3511,-117.4536,0.0,bottom
CV1,79.3011,-112.3186,180.0,top
CV2,88.6011,-112.3186,180.0,top
CV3,97.9011,-112.3186,180.0,top
CV4,107.2011,-112.3186,180.0,top
CV_A0,209.0011,-97.6886,0.0,top
CV_B0,218.3011,-97.6886,0.0,top
CV_C0,209.0011,-112.3186,180.0,top
CV_D0,218.3011,-112.3186,180.0,top
D1,122.4311,-96.2636,270.0,bottom
D2,122.3711,-103.4536,90.0,bottom
ENC_L0,131.2011,-108.8536,0.0,top
ENC_R0,186.6011,-108.8536,0.0,top
IC1,213.3011,-111.8536,0.0,bottom
IC2,213.2511,-98.3536,0.0,bottom
IC3,131.8011,-103.4536,90.0,bottom
IC4,101.8511,-111.0036,0.0,bottom
IC5,84.6511,-111.5036,0.0,bottom
IC6,151.0011,-104.2536,180.0,bottom
IC7,180.3311,-113.0536,90.0,bottom
J$1,116.2011,-101.1536,270.0,bottom
L1,137.9211,-114.1836,180.0,bottom
OLED0,159.1371,-99.0916,0.0,top
Q1,105.5011,-96.6036,90.0,bottom
Q2,96.1811,-96.5436,90.0,bottom
Q3,86.8911,-96.5336,90.0,bottom
Q4,77.6311,-96.5536,90.0,bottom
R1,221.0011,-97.5036,180.0,bottom
R10,203.9011,-106.6036,90.0,bottom
R11,194.7011,-109.8036,270.0,bottom
R12,194.7011,-106.6036,270.0,bottom
R13,196.5511,-115.7536,90.0,bottom
R14,184.3011,-104.2836,180.0,bottom
R15,182.5011,-95.6536,180.0,bottom
R16,180.0311,-104.2636,180.0,bottom
R17,131.0011,-95.9536,180.0,bottom
R18,127.2011,-99.4536,0.0,bottom
R19,110.2511,-117.1536,0.0,bottom
R2,221.0011,-95.1036,0.0,bottom
R20,110.3011,-113.1036,180.0,bottom
R21,110.0011,-108.6036,90.0,bottom
R22,109.6711,-93.4736,90.0,bottom
R23,106.4511,-113.1036,0.0,bottom
R24,103.2911,-93.4336,90.0,bottom
R25,102.5011,-104.1036,270.0,bottom
R26,101.0611,-93.4336,90.0,bottom
R27,100.2611,-98.0836,0.0,bottom
R28,95.1011,-109.9536,90.0,bottom
R29,95.0511,-116.9036,270.0,bottom
R3,220.5011,-114.8536,0.0,bottom
R30,95.0511,-113.3536,270.0,bottom
R31,92.2011,-117.4536,0.0,bottom
R32,92.1511,-114.8036,0.0,bottom
R33,92.1011,-112.1536,180.0,bottom
R34,91.6911,-93.4636,90.0,bottom
R35,90.9811,-98.0636,0.0,bottom
R36,85.7011,-117.5536,0.0,bottom
R37,82.3011,-117.5036,0.0,bottom
R38,82.2111,-93.4636,90.0,bottom
R39,81.7511,-104.1036,270.0,bottom
R4,220.5011,-112.6036,0.0,bottom
R40,81.6011,-98.0036,0.0,bottom
R41,76.4511,-114.3536,270.0,bottom
R42,76.4011,-104.1036,90.0,bottom
R43,193.9011,-115.7536,270.0,bottom
R44,188.0011,-104.2836,180.0,bottom
R45,184.3011,-106.6836,180.0,bottom
R47,191.8011,-95.5536,0.0,bottom
R5,208.7511,-95.1536,180.0,bottom
R6,207.3011,-114.9036,180.0,bottom
R7,205.5511,-96.1536,270.0,bottom
R8,203.9011,-113.7536,90.0,bottom
R9,203.9011,-110.2536,90.0,bottom
SW_B0,182.4511,-94.4536,180.0,top
SW_T0,131.0511,-94.4536,180.0,top
SW_VOR0,191.7011,-94.4536,180.0,top
TEENSY3.2,159.0611,-107.1036,270.0,bottom
TR1,79.3011,-97.6886,0.0,top
TR2,88.6011,-97.6886,0.0,top
TR3,97.9011,-97.6886,0.0,top
TR4,107.2011,-97.6886,0.0,top
U$1,200.8011,-97.2586,90.0,top
U1,199.5611,-109.4336,270.0,bottom
U2,137.4511,-96.1536,90.0,bottom
U3,117.8911,-114.2049,270.0,bottom
