Partlist

Exported from phoreo.sch at 2018-10-02 10:52 AM

EAGLE Version 9.0.0 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value                         Device                              Package            Library       Sheet

C1       100n                          CAPACITOR-EUC0603K                  C0603K             0000-master   1
C2       10u                           CAPACITOR_POLARIZED-USB             PANASONIC_B        0000-master   1
C3       10u                           CAPACITOR_POLARIZED-USB             PANASONIC_B        0000-master   1
C4       100n                          CAPACITOR-EUC0603                   C0603              0000-master   1
C5       100n                          CAPACITOR-EUC0603                   C0603              0000-master   1
D1       SS12                          D_SCHOTTKY-SMA                      SMA_DO214AC        we-rcl        1
D2       SS12                          D_SCHOTTKY-SMA                      SMA_DO214AC        we-rcl        1
IC1      OPAMP-TL074D                  OPAMP-TL074D                        SO14               0000-master   1
IC2      MEGA8-AI                      MEGA8-AI                            TQFP32-08          atmel         1
IC3      7805DT                        7805DT                              TO252              linear        1
J1       HEADER-EUROPWR_2X05-OPEN      HEADER-EUROPWR_2X05-OPEN            2X05_EUROPWR_OPEN  0000-master   1
J2       JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK 0000-master   1
J3       JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK 0000-master   1
J4       JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK 0000-master   1
JP2                                    PINHD-2X3                           2X03               pinhead       1
LED1                                   LED3MM                              LED3MM             0000-master   1
LED2                                   LED3MM                              LED3MM             0000-master   1
Q1       16 MHz                        CSTCR6M00G53Z                       CSTCR6M            murata-filter 1
R1       100k                          RESISTOR-EU_R0603                   R0603              0000-master   1
R2       100k                          RESISTOR-EU_R0603                   R0603              0000-master   1
R3       100k                          RESISTOR-EU_R0603                   R0603              0000-master   1
R4       1M                            RESISTOR-EU_R0603                   R0603              0000-master   1
R5       1M                            RESISTOR-EU_R0603                   R0603              0000-master   1
R6       1M                            RESISTOR-EU_R0603                   R0603              0000-master   1
R7       10k                           RESISTOR-EU_R0603                   R0603              0000-master   1
R8       10k                           RESISTOR-EU_R0603                   R0603              0000-master   1
