R17,,100k,R0603
R25,,100k,R0603
C11,,100pf,C0603
R18,,10k,R0603
R23,,10k,R0603
C1,,10nf,C0603
C2,,10nf,C0603
C3,,10nf,C0603
C5,,10nf,C0603
C6,,10nf,C0603
C14,,10uF,"E2	5-5"
C15,,10uF,"E2	5-5"
R13,,12K,R0603
R6,,12K,R0603
R7,,12K,R0603
C12,,15nf,C0603
R1,,1K,R0603
R20,,1M,R0603
R28,,1M,R0603
D1,,1N4148,SOD323W_INFINEON
D2,,1N4148,SOD323W_INFINEON
D3,,1N4148,SOD323W_INFINEON
D5,,1N4148,SOD323W_INFINEON
R10,,2.2K,R0603
R12,,2.2K,R0603
R14,,2.2K,R0603
R22,,2.7k,R0603
R5,,220K,R0603
C4,,220pf,C0603
R24,,22k,R0603
R26,,22k,R0603
R27,,22k,R0603
R3,,22K,R0603
C7,,27nf,C0603
C8,,27nf,C0603
R15,,3.3k,R0603
R11,,330K,R0603
R19,,4.7k,R0603
R2,,4.7K,R0603
R4,,4.7K,R0603
C10,,4.7nf,C0603
C9,,4.7nf,C0603
R16,,470k,R0603
R9,,470k,R0603
R21,,47k,R0603
C13,,47nf,C0603
R8,,680R,R0603
OUT,,Accent,KOBICONN_PJM301DM_JACK
Q1,,BC849,SOT23-BEC
Q3,,BC849,SOT23-BEC
Q2,,BC859,SOT23-BEC
D4,,DIODE-1N4148SOD-323,SOD323W_INFINEON
J1,,HEADER-EUROPWR_2X05-OPEN,2X05_EUROPWR_OPEN
R29,,LEVEL,9MM_PLS
R30,,PITCH_1,9MM_PLS
R31,,PITCH_2,9MM_PLS
R32,,PITCH_3,9MM_PLS
IC1,,TL072,SO08
IC2,,TL072,SO08
IC3,,TL072,SO08
TRIG,,,KOBICONN_PJM301DM_JACK
