Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",PANASONIC_B_334,2,10uF,
"C10, C11, C14, C17, C22, C23, C26, C28, C29, C3, C33, C4, C5, C6",C0603_348,14,100n,
"C12, C16",PANASONIC_C_334,2,22uF,
"C13, C7",C0603_348,2,3.3n,
"C15, C18, C19",C0603_348,3,470n,
"C20, C21",C1206K_348,2,10uF,
"C24, C25",C0603_348,2,1uF,
"C27, C30, C31, C32",C0603_348,4,330p-560p,
"C8, C9",C0603_348,2,1n,
"CL1, CL2, CL3, CL4/DAC0, CL6, CLK4, CV_1, CV_2, CV_3, CV_4, TRIG1, TRIG2",OG-PJ301_WQP_PJ_301M6_NO_HOLE,12,OG-PJ301_PJ301_THONKICONN,
"D1, D2",DIODE_SOD123,2,1N5819HW,
"ENC-L0, ENC-R0",PEC11R-4XXXK-SXXXX,2,PEC11R,
"IC1, IC2",SO08_262,2,TL072D,
IC3,SO14_262,1,TL074D,
IC4,SOT95P230X110-3N,1,MIC803-46D2VM3TR,
IC5,DBZ_R-PDSO-G3_387,1,LM4040-5V,
"IC6, IC7",SOIC8,2,MCP6002SMT,
J$1,POWER_10,1,POWER_SIMPLE10,
L1,WE-LQ_M_448,1,10uH,
"LED1, LED2, LED3, LED5, LED6",LED3MM_259,5,,
LED4,LED3MM_259,1,WP937EGW,
OLED0,1U_1.3OLED_2,1,1U_1.3OLED1U_1.3OLED_2,
"Q1, Q2",TRANSISTOR_SOT23-BEC,2,MMBT3904LT1G,
"R1, R2, R3, R35, R38, R4, R44, R47, R5, R50, R53",R0603_334,11,100k,
"R10, R13, R19, R26, R8",R0603_334,5,20k,
"R11, R14, R23, R25, R6",R0603_334,5,10k,
"R12, R15, R17, R24, R27, R7, R9",R0603_334,7,1.0k,
R16,R0603_334,1,1k8,
R18,R0603_334,1,1k2,
R20,R0603_334,1,6k8,
"R21, R22",R0603_334,2,3k,
R28,R0603_334,1,4k2,
"R29, R31, R32",R0603_334,3,510R,
R30,R0603_334,1,3k9,
R33,R0603_334,1,2K,
"R34, R36, R41, R42",R0603_334,4,100R,
"R37, R45, R46, R49",R0603_334,4,75k,
"R39, R40, R43, R48, R51, R52",R0603_334,6,33k,
"R54, R55",R0603_334,2,47k,
RESET0,61300111121_479,1,,
"SW1, SW2",TACTILE-PTH,2,,
TEENSY_3.2,TEENSY_3.2_TEMPS_NO29,1,TEENSY_3.2_TEMPS_NO29,
U1,SOT95P280X100-5N,1,ADP150AUJZ-3.3-R7,
U2,SOT223,1,LD1117S50TR,
