Designator,Mid X,Mid Y,Rotation,Layer
C1,121.5411,-112.3736,180.0,bottom
C10,188.7911,-105.5436,0.0,bottom
C11,188.0111,-94.7236,270.0,bottom
C12,185.3711,-113.5136,270.0,bottom
C13,176.7011,-110.0536,270.0,bottom
C14,175.4011,-92.8536,180.0,bottom
C15,174.0011,-106.0536,90.0,bottom
C16,158.2011,-106.8136,270.0,bottom
C17,142.64409,-96.178063,0.0,bottom
C18,141.7711,-111.3636,180.0,bottom
C19,138.0811,-111.2636,180.0,bottom
C2,118.7111,-106.2536,270.0,bottom
C20,133.5411,-104.1136,180.0,bottom
C21,133.3811,-110.2536,180.0,bottom
C22,126.4511,-100.6036,0.0,bottom
C23,126.2011,-92.3036,0.0,bottom
C24,122.8911,-99.0136,180.0,bottom
C25,115.6511,-99.8536,270.0,bottom
C26,120.1011,-93.1536,180.0,bottom
C27,99.1911,-96.4136,270.0,bottom
C28,97.1811,-112.6736,90.0,bottom
C29,95.2511,-92.7036,180.0,bottom
C3,212.3411,-112.7936,270.0,bottom
C30,95.1711,-106.1636,180.0,bottom
C31,91.8511,-117.6036,0.0,bottom
C32,91.5411,-106.1436,0.0,bottom
C33,76.5011,-104.9536,180.0,bottom
C4,212.1411,-96.9736,270.0,bottom
C5,206.7811,-102.8836,0.0,bottom
C6,205.1311,-114.8436,270.0,bottom
C7,197.6011,-117.4736,0.0,bottom
C8,196.6011,-104.8736,90.0,bottom
C9,190.6911,-114.2236,0.0,bottom
CL1,194.2011,-97.5886,0.0,top
CL2,203.7011,-97.5886,0.0,top
CL3,213.2011,-97.5886,0.0,top
CL4/DAC0,194.2011,-112.4186,180.0,top
CL6,213.2011,-112.4186,180.0,top
CLK4,203.7011,-112.4186,180.0,top
CV_1,88.7011,-97.6886,0.0,top
CV_2,98.1011,-97.6886,0.0,top
CV_3,88.8011,-112.3186,180.0,top
CV_4,98.2011,-112.3186,180.0,top
D1,112.2211,-94.6336,270.0,bottom
D2,112.2311,-102.0736,90.0,bottom
ENC-L0,120.1011,-108.8536,0.0,top
ENC-R0,175.5011,-108.8536,0.0,top
IC1,208.5011,-113.3636,0.0,bottom
IC2,208.3911,-97.8536,0.0,bottom
IC3,188.1011,-100.5536,0.0,bottom
IC4,139.0911,-103.5436,180.0,bottom
IC5,126.3811,-104.3536,0.0,bottom
IC6,92.9511,-98.4036,0.0,bottom
IC7,92.8511,-111.7036,0.0,bottom
