Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",C0603_334,6,100n,
"C7, C8",PANASONIC_A_334,2,4.7u,
"D1, D2",SOD123_210,2,1N5819HW,
"IC1, IC2, IC3",TSSOP14,3,OPA4171,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",WQP-PJ301M-12_JACK_1021984,12,WQP-PJ301M-12_JACK,
JP1,AVR_ICSP,1,M05X2PTH,
"LED1, LED2, LED3, LED4, LED5, LED6",LED3MM,6,WP937EGW,
"R1, R10, R2, R3, R6, R8",R0603_348,6,680k,
"R11, R12, R4, R5, R7, R9",R0603_334,6,1.0k,
"R13, R14, R15, R16, R17, R18",R0603_348,6,51,
