Designator,Mid X,Mid Y,Rotation,Layer
C1,154.643912,-68.165772,180.0,bottom
C2,142.516378,-68.156438,180.0,bottom
C3,153.9124,-101.242613,180.0,bottom
C4,142.838921,-101.275007,180.0,bottom
C5,154.036112,-151.281007,180.0,bottom
C6,142.834568,-151.372441,180.0,bottom
C7,153.908462,-60.0863,180.0,bottom
C8,143.43924,-59.896154,180.0,bottom
D1,156.221906,-54.566004,90.0,bottom
D2,140.751175,-54.419966,270.0,bottom
IC1,148.659709,-68.163094,270.0,bottom
IC2,148.421937,-101.290907,270.0,bottom
IC3,148.525675,-150.498444,270.0,bottom
J1,143.610037,-68.75336,0.0,top
J10,153.395959,-118.694557,0.0,top
J11,153.373418,-134.351579,0.0,top
J12,153.4134,-151.790013,0.0,top
J2,143.640334,-85.246669,0.0,top
J3,143.63919,-102.0036,0.0,top
J4,143.639365,-118.72496,0.0,top
J5,143.629306,-134.351579,0.0,top
J6,143.621346,-151.797288,0.0,top
J7,153.373503,-68.75336,0.0,top
J8,153.371709,-85.251354,0.0,top
J9,153.409268,-102.0036,0.0,top
JP1,148.4511,-54.3516,270.0,bottom
LED1,148.639218,-59.512679,0.0,top
LED2,148.518909,-75.989097,0.0,top
LED3,148.6392,-92.67645,0.0,top
LED4,148.579006,-109.294547,0.0,top
LED5,148.604171,-125.024679,0.0,top
LED6,148.505237,-142.604491,0.0,top
R1,142.477281,-65.490282,0.0,bottom
R10,142.829584,-148.541797,180.0,bottom
R11,142.708218,-134.57336,0.0,bottom
R12,148.410193,-145.780175,180.0,bottom
R13,154.629009,-65.666229,180.0,bottom
R14,153.115131,-82.505691,180.0,bottom
R15,153.892365,-98.774669,180.0,bottom
R16,152.520359,-118.728632,180.0,bottom
R17,154.042937,-143.085247,180.0,bottom
R18,154.093478,-148.5098,0.0,bottom
R2,142.598496,-82.416591,180.0,bottom
R3,143.344662,-118.733335,180.0,bottom
R4,146.632243,-63.084697,0.0,bottom
R5,142.603093,-85.45141,0.0,bottom
R6,143.346675,-115.617432,180.0,bottom
R7,142.751218,-93.766241,0.0,bottom
R8,142.732893,-131.886613,180.0,bottom
R9,142.848834,-98.772782,0.0,bottom
