Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",C0805_334,2,1n,
"C10, C9",PANASONIC_B_348,2,10uf,
"C2, C3, C5, C8",C0805_334,4,100n,
"CHANNEL-CV0, OUTPUT0, RESET-CV0, TIME-CV0",WQP-PJ301M-12_JACK,4,,
"CHANNEL-POT0, TIME-POT0",EVUF,2,50k,
"D1, D2",SOD-123_467,2,1N5819,
"D5, D6, D9",SOT23_210,3,BAT54S,
"F1, F2",1206L,2,1206L020,
IC1,SOT223,1,LM1117MP-5.0,
IC4,SO14_262,1,TL074,
"LED1, LED2, LED3, LED4, LED5",LED3MM,5,,
"R1, R2",R0805_334,2,47R,
"R10, R21",R0805_334,2,47k,
"R11, R12, R13, R14, R15",R0805_334,5,1.5k,
R16,R0805_334,1,15k,
"R17, R18",R0805_334,2,220R,
"R19, R6",R0805_334,2,100k,
"R20, R9",R0805_334,2,22k,
"R3, R4",R0805_334,2,8.2k,
R5,R0805_334,1,330K,
R7,R0805_334,1,1k,
R8,R0805_334,1,10k,
RESET0,D6_BUTTON_RND,1,D6_PUSH_SWITCH,
SV1,MA05-2,1,,
U1,TEENSY_3.1_TW,1,TEENSY_3.1_TW,
X1,VERT_MICROSD_REV2,1,VERT_SD_CARD_REV2,
