Designator,Mid X,Mid Y,Rotation,Layer
C1,161.8031,-106.4946,180.0,bottom
C10,106.5581,-107.1296,180.0,bottom
C2,154.4371,-100.3986,180.0,bottom
C3,166.3751,-100.7796,180.0,bottom
C4,180.8531,-104.3356,90.0,bottom
C5,174.3761,-101.6686,0.0,bottom
C8,174.3761,-111.3206,0.0,bottom
C9,121.2901,-104.0816,0.0,bottom
CHANNEL-CV0,116.7061,-110.5586,90.0,top
CHANNEL-POT0,187.032,-105.4786,270.0,top
D1,116.9721,-112.0826,90.0,bottom
D2,116.9721,-107.1296,90.0,bottom
D5,152.4051,-107.8916,90.0,bottom
D6,99.5731,-100.5256,90.0,bottom
D9,147.9601,-98.1126,270.0,bottom
F1,107.4471,-103.0656,0.0,bottom
F2,121.1631,-107.6376,0.0,bottom
IC1,194.1968,-105.6056,270.0,bottom
IC4,172.9791,-106.4276,180.0,bottom
LED1,200.1571,-98.7476,270.0,top
LED2,200.1571,-103.1926,90.0,top
LED3,200.1571,-107.6376,270.0,top
LED4,200.1571,-112.0826,90.0,top
LED5,147.7061,-111.8286,270.0,top
OUTPUT0,102.1011,-110.5586,90.0,top
R1,156.7231,-110.3046,180.0,bottom
R10,113.4161,-112.5906,90.0,bottom
R11,196.8551,-97.4776,0.0,bottom
R12,196.8551,-100.0176,359.4,bottom
R13,196.6011,-110.6856,0.0,bottom
R14,196.6011,-113.3526,0.0,bottom
R15,151.8971,-110.8126,0.0,bottom
R16,166.3751,-110.0506,180.0,bottom
R17,101.3511,-109.5426,270.0,bottom
R18,102.7481,-98.3666,90.0,bottom
R19,102.7481,-102.5576,270.0,bottom
R2,171.9631,-99.6366,180.0,bottom
R20,113.2891,-98.1126,270.0,bottom
R21,113.2891,-102.6846,90.0,bottom
R3,158.5011,-100.3986,0.0,bottom
R4,161.8031,-104.0816,180.0,bottom
R5,166.3751,-104.2086,180.0,bottom
R6,178.8211,-104.3356,270.0,bottom
R7,166.3751,-107.0026,0.0,bottom
R8,144.4041,-111.1936,0.0,bottom
R9,113.4161,-108.2726,270.0,bottom
RESET-CV0,102.1011,-100.3986,90.0,top
RESET0,139.4511,-108.6536,180.0,top
SV1,129.5451,-105.8596,90.0,bottom
TIME-CV0,116.7061,-100.3986,90.0,top
TIME-POT0,159.092,-105.4786,270.0,top
U1,168.0261,-105.4786,90.0,bottom
X1,139.4511,-99.6036,0.0,top
