Partlist

Exported from stoichea_v0.2.sch at 2018-10-02 10:58 AM

EAGLE Version 9.0.0 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value                         Device                              Package               Library                     Sheet

C2       100n                          CAPACITOR-EUC0603                   C0603                 0000-master                 1
C3       100n                          CAPACITOR-EUC0603K                  C0603K                0000-master                 1
C4       10u                           CAPACITOR_POLARIZED-USB             PANASONIC_B           0000-master                 1
C5       10u                           CAPACITOR_POLARIZED-USB             PANASONIC_B           0000-master                 1
C6       100n                          CAPACITOR-EUC0603                   C0603                 0000-master                 1
C7       100n                          CAPACITOR-EUC0603                   C0603                 0000-master                 1
CLK_IN   JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK    0000-master                 1
CLK_TH   JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK    0000-master                 1
D1       SS14                          DIODESOD-323F                       SOD-323F              adafruit                    1
F1       6V/0.5A                       FUSE-PPTC_HALF-AMP                  1206                  0000-master                 1
FILL_A   POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
FILL_B   POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
IC1      7805DT                        7805DT                              TO252                 linear                      1
J1       HEADER-EUROPWR_2X05-OPEN      HEADER-EUROPWR_2X05-OPEN            2X05_EUROPWR_OPEN     0000-master                 1
LEDA                                   LED3MM                              LED3MM                0000-master                 1
LEDB                                   LED3MM                              LED3MM                0000-master                 1
LEDC                                   LED3MM                              LED3MM                0000-master                 1
OUT_A    JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK    0000-master                 1
OUT_B    JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK    0000-master                 1
Q2       MMBT3904                      TRANSISTOR-NPN-MMBT3904LT1SOT23-BEC SOT23-BEC             0000-master                 1
Q3       MMBT3904                      TRANSISTOR-NPN-MMBT3904LT1SOT23-BEC SOT23-BEC             0000-master                 1
Q4       MMBT3904                      TRANSISTOR-NPN-MMBT3904LT1SOT23-BEC SOT23-BEC             0000-master                 1
Q5       MMBT3904                      TRANSISTOR-NPN-MMBT3904LT1SOT23-BEC SOT23-BEC             0000-master                 1
R1       100k                          RESISTOR-EU_R0603                   R0603                 0000-master                 1
R2       1m                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R3       10k                           RESISTOR-EU_R0603                   R0603                 0000-master                 1
R4       1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R5       1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R6       100R                          RESISTOR-EU_R0603                   R0603                 0000-master                 1
R7       1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R8       1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R9       1K                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R10      1K                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R11      1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R12      1K                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R13      100R                          RESISTOR-EU_R0603                   R0603                 0000-master                 1
R14      1k                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R15      100k                          RESISTOR-EU_R0603                   R0603                 0000-master                 1
R16      1M                            RESISTOR-EU_R0603                   R0603                 0000-master                 1
R17      10k                           RESISTOR-EU_R0603                   R0603                 0000-master                 1
R18      10k                           RESISTOR-EU_R0603                   R0603                 0000-master                 1
ROT_A    POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
ROT_B    POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
RST_IN   JACK_THONKICONN-WQP-PJ301M-12 JACK_THONKICONN-WQP-PJ301M-12       WQP-PJ301M-12_JACK    0000-master                 1
STEP_A   POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
STEP_B   POT_9MM_PCB-PLS               POT_9MM_PCB-PLS                     9MM_PLS               0000-master                 1
SV1                                    MA06-1                              MA06-1                con-lstb                    1
SW1                                    SWITCH-SPDT-320-916                 320-916               0000-master                 1
SW2                                    SWITCH-SPDT-320-916                 320-916               0000-master                 1
SW3                                    SWITCH-SPDT-320-916                 320-916               0000-master                 1
U2       ATMEGA328P_TQFP               ATMEGA328P_TQFP                     TQFP32-08             SparkFun-IC-Microcontroller 1
Y1       16MHz                         RESONATORSMD-3.2X1.3                RESONATOR-SMD-3.2X1.3 0000-master                 1
