Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_1206,2,100n,
"C10, C11, C12, C13, C14, C7, C8, C9",0603,8,100n,
"C3, C4",0603,2,22p,
"C5, C6",0805,2,22u,
"D1, D2",SOD-123,2,1N5819HW,
"IC1, IC2",SOP65P640X145-8N,2,NJM4556AV-TE1,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x04_Male,
J12,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J13, J14",CUI_SJ-63083A,2,SJ-63083A,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x03_Male,
"R15, R16",1206,2,100k,
"R17, R18, R19, R20, R21, R22, R27, R28",0603,8,100k,
"R23, R24, R25, R26",1206,4,1,
"R29, R30",0603,2,1k,
S1,ADP0204,1,ADP0204,
"U3, U4",SOIC-8,2,LME49720,
