Designator,Mid X,Mid Y,Rotation,Layer
C1,137.75,-95.25,90.0,top
C10,133.7,-76.5,0.0,top
C11,129.75,-97.5,0.0,top
C12,134.75,-90.0,270.0,top
C13,135.5,-98.75,90.0,top
C14,131.0,-106.75,90.0,top
C2,127.25,-105.25,90.0,top
C3,137.75,-82.25,270.0,top
C4,125.5,-81.0,270.0,top
C5,131.25,-58.75,180.0,top
C6,132.25,-46.75,90.0,top
C7,129.25,-76.5,0.0,top
C8,137.75,-70.25,90.0,top
C9,125.5,-84.55,270.0,top
D1,132.25,-54.25,90.0,top
D2,130.25,-42.0,0.0,top
IC1,131.75,-94.0,180.0,top
IC2,132.75,-102.75,0.0,top
J11,132.15,-113.3,270.0,top
J12,127.98,-50.83,0.0,bottom
J13,131.314579,-141.78542,90.0,top
J14,131.314579,-124.78542,90.0,top
J8,139.0,-46.06,0.0,top
R15,137.75,-90.25,270.0,top
R16,133.75,-107.4625,90.0,top
R17,137.75,-73.75,270.0,top
R18,137.75,-66.5,90.0,top
R19,129.2,-68.5,0.0,top
R20,125.5,-72.55,270.0,top
R21,137.75,-77.75,270.0,top
R22,125.5,-76.25,270.0,top
R23,125.25,-100.25,180.0,top
R24,125.25,-97.5,180.0,top
R25,138.0,-110.25,0.0,top
R26,138.0,-107.5,0.0,top
R27,133.25,-86.0,270.0,top
R28,130.75,-86.05,270.0,top
R29,135.75,-86.0,270.0,top
R30,128.25,-86.0,270.0,top
S1,128.55,-67.23,180.0,bottom
U3,131.5,-72.5,0.0,top
U4,131.5,-81.25,0.0,top
