Designator,Mid X,Mid Y,Rotation,Layer
@HOLE0,102.5011,-105.8036,0.0,top
BOOT0,132.5911,-92.0636,270.0,bottom
C1,162.6511,-109.8936,270.0,top
C10,130.1111,-112.9236,270.0,bottom
C11,146.0711,-93.7936,180.0,bottom
C12,134.1811,-105.9136,0.0,bottom
C13,134.1711,-107.7336,0.0,bottom
C14,181.0911,-108.8736,180.0,bottom
C15,181.1111,-114.5436,0.0,bottom
C16,189.2711,-92.7936,180.0,bottom
C17,196.5711,-114.4336,180.0,bottom
C18,189.3211,-100.1936,180.0,bottom
C19,181.4811,-95.6736,180.0,bottom
C2,158.3611,-103.2536,270.0,top
C20,181.4711,-101.2336,0.0,bottom
C21,187.6811,-109.1336,90.0,bottom
C22,169.4711,-99.6436,270.0,bottom
C23,196.5711,-94.9136,0.0,bottom
C24,189.2211,-117.8736,180.0,bottom
C3,145.1611,-103.0136,0.0,top
C4,142.7511,-109.3536,270.0,top
C5,140.8911,-97.4336,90.0,bottom
C6,104.3711,-110.3336,180.0,bottom
C7,104.3911,-101.1336,180.0,bottom
C8,123.1211,-101.6936,180.0,bottom
C9,122.4111,-114.5736,270.0,bottom
D1,157.7711,-110.4736,270.0,top
D2,162.6711,-102.5736,270.0,top
IC1,150.6111,-108.9682,90.0,top
IC2,142.2411,-93.7236,0.0,bottom
IC3,137.8011,-108.2736,90.0,bottom
IC4,189.1511,-113.5636,270.0,bottom
IC5,189.3811,-96.5236,270.0,bottom
IC6,168.4711,-95.5236,0.0,bottom
J1,184.5011,-112.4686,180.0,top
J2,184.5011,-97.6386,0.0,top
J3,193.8011,-112.4686,180.0,top
J4,193.8011,-97.6386,0.0,top
JP2,124.8511,-93.3186,270.0,bottom
L1,145.0911,-104.8936,0.0,top
LED1,126.0011,-115.3036,0.0,top
LED2,146.0011,-115.3036,0.0,top
LED3,156.0011,-115.3036,0.0,top
LED4,166.0011,-115.3036,0.0,top
LED5,176.0011,-115.3036,0.0,top
POWER!0,159.9111,-105.7436,270.0,bottom
Q1,109.0211,-107.2636,90.0,bottom
Q2,176.9911,-110.0636,0.0,bottom
Q3,177.0811,-97.2436,180.0,bottom
R1,116.0011,-99.32975,180.0,top
R10,102.8511,-115.3336,270.0,bottom
R11,150.9511,-99.32975,180.0,top
R12,142.0511,-115.0536,90.0,bottom
R13,132.3511,-96.5336,90.0,bottom
R14,181.1111,-111.4836,0.0,bottom
R15,181.0911,-117.2136,0.0,bottom
R16,177.0311,-105.5236,180.0,bottom
R17,190.2511,-109.1336,90.0,bottom
R18,196.5611,-111.7836,0.0,bottom
R19,196.5811,-107.3336,180.0,bottom
R2,122.9911,-118.0736,0.0,bottom
R20,196.5711,-117.3536,180.0,bottom
R21,168.5011,-99.32975,180.0,top
R22,143.2511,-100.7536,270.0,bottom
R23,102.6711,-96.2936,270.0,bottom
R24,181.4811,-98.6036,0.0,bottom
R25,167.5511,-99.6336,90.0,bottom
R26,196.5511,-99.8836,0.0,bottom
R27,181.5511,-92.9436,0.0,bottom
R28,177.0511,-101.2336,180.0,bottom
R29,196.5411,-97.4736,180.0,bottom
R3,134.7711,-96.5136,270.0,bottom
R30,196.5611,-102.2636,0.0,bottom
R31,196.5611,-92.4936,180.0,bottom
R4,142.9711,-118.0736,0.0,bottom
R5,133.5211,-99.32975,180.0,top
R6,152.3511,-118.0736,0.0,bottom
R7,162.2311,-118.0736,0.0,bottom
R8,172.7111,-118.0736,0.0,bottom
R9,143.2511,-97.4136,90.0,bottom
RESET0,135.4011,-92.0436,270.0,bottom
SW1,116.0011,-115.3036,0.0,top
SW2,136.0011,-115.3036,0.0,top
SW4,102.5011,-115.3036,270.0,top
SW6,102.5011,-96.3036,270.0,top
UC1,125.3411,-107.8236,180.0,bottom
