Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C5, C7",0603,6,100nf,
"C3, C4, C9",CP_Elec_4x5.4,3,10uF,
"C6, C8",0603,2,1nF,
"D7, D8",D_SOD-323,2,1N5819,
"F1, F2",0805,2,Polyfuse_Small,
J1,PJ301M-12_Compact,1,STATION_CV,
J2,PJ301M-12_Compact,1,RESET-CV,
J3,YAMAICHI_MICROSD_VERTICAL,1,Micro_SD_Card,
J4,Eurorack_power_header,1,EURO_PWR_2x5,
J5,PJ301M-12_Compact,1,OUTPUT,
J6,PJ301M-12_Compact,1,START_CV,
LED1,LED_D3.0mm,1,LED1,
LED2,LED_D3.0mm,1,LED2,
LED3,LED_D3.0mm,1,LED3,
LED4,LED_D3.0mm,1,LED4,
Q1,SOT-23,1,MMBT3904,
"R1, R12, R16, R19, R20, R8",0603,6,100k,
"R10, R14, R15, R2, R3, R4, R5",0603,7,10k,
R11,0603,1,120k,
R13,0603,1,1k,
"R17, R18",0603,2,200k,
"R6, R7",0603,2,5.6k,
R9,0603,1,330k,
RESET_LED1,LED_D3.0mm,1,RESET_LED,
RV1,Alpha9mmPot,1,R_STATION,
RV2,Alpha9mmPot,1,R_START,
SW1,Push_E-Switch_KS01Q01,1,SW_DIP_x01,
U1,Teensy4.0-RawWavesV2,1,Teensy4.0,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,PT8211,
U4,SOT-223-3_TabPin2,1,LM1117MP-5.0,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
