Designator,Mid X,Mid Y,Rotation,Layer
C1,94.8,-65.85,90.0,bottom
C10,96.05,-79.45,270.0,bottom
C11,103.6,-76.25,90.0,bottom
C2,102.25,-138.625,90.0,bottom
C3,93.1,-52.55,270.0,bottom
C4,106.3,-131.8,180.0,bottom
C5,103.6,-79.3,270.0,bottom
C6,102.05,-71.025,270.0,bottom
C7,101.175,-68.3,180.0,bottom
C8,104.25,-73.65,0.0,bottom
C9,93.8,-131.8,180.0,bottom
D7,98.35,-128.7,90.0,bottom
D8,101.6,-128.7,270.0,bottom
F1,98.35,-125.2125,90.0,bottom
F2,101.6,-125.25,90.0,bottom
J1,94.39,-130.65,180.0,top
J2,94.39,-145.26,180.0,top
J3,93.6,-107.55,90.0,top
J4,99.97,-117.67,270.0,bottom
J5,104.55,-145.26,180.0,top
J6,104.55,-130.65,180.0,top
LED1,92.74,-46.84,0.0,top
LED2,97.19,-46.84,0.0,top
LED3,101.63,-46.84,0.0,top
LED4,106.08,-46.84,0.0,top
Q1,94.55,-147.3625,270.0,bottom
R1,96.6,-135.525,270.0,bottom
R10,101.55,-85.95,270.0,bottom
R11,99.875,-83.3,180.0,bottom
R12,101.475,-145.8,0.0,bottom
R13,106.5,-146.675,90.0,bottom
R14,107.025,-100.95,180.0,bottom
R15,94.175,-144.5,0.0,bottom
R16,97.25,-149.075,270.0,bottom
R17,94.325,-138.05,0.0,bottom
R18,98.325,-145.8,0.0,bottom
R19,99.575,-135.8,180.0,bottom
R2,93.85,-48.4,180.0,bottom
R20,102.25,-143.05,90.0,bottom
R3,97.0,-48.4,180.0,bottom
R4,100.2,-48.4,180.0,bottom
R5,103.35,-48.4,0.0,bottom
R6,102.85,-66.75,180.0,bottom
R7,103.7,-69.375,270.0,bottom
R8,104.475,-71.8,0.0,bottom
R9,104.175,-81.95,180.0,bottom
RESET_LED1,105.82,-99.29,0.0,top
RV1,99.47,-60.325,0.0,top
RV2,99.47,-88.265,0.0,top
SW1,102.65,-107.55,180.0,top
U1,99.78,-79.81,270.0,bottom
U2,96.75,-71.25,0.0,bottom
U4,99.45,-56.25,270.0,bottom
U5,98.65,-140.85,0.0,bottom
U6,99.78,-78.75,180.0,bottom
