Designator,Footprint,Quantity,Value,LCSC Part #
"/INA0, /INB0, /LRCK0, /MCLK0, /OUTA0, /OUTB0, /RESET0, /SCL0, /SCLK0, /SDA0, /SDIN0, /SDOUT0",TP12R,12,TPTP12R,
"@HOLE0, @HOLE1",,2,,
"C1, C4, C47, C6, C63, C8",C0603,6,100n,
"C10, C12, C2, C43, C5",C0805,5,10u,
"C11, C13",C0603,2,220p COG,
"C14, C16",C0805,2,3.3u,
"C15, C17",C0603,2,2700p COG,
"C3, C35, C36, C38, C39, C41, C42, C44, C45, C46, C88",C0603,11,10n,
"C7, C9",C1206,2,47u,
"E1, E2, E3",PEC11RN,3,ENC,
"J-IN0, J-OUT0",JACK4832.2330,2,JACK-TRS-SW,
J3,ISP-ROW,1,ISP-ROW,
L3,L0805,1,FERRITE,
Q1,ASF,1,ASFL-12.288mhz,
"R1, R10, R11, R13, R15, R2, R26, R28, R29, R3, R32, R34, R35, R38, R4, R40, R41, R44, R45, R46, R47, R48, R49, R8",R0603,24,10k,
"R12, R14",R0603,2,590,
"R7, R9",R0603,2,4.99k,
"SW1, SW2, SW3",PVA1,3,PVA1,
U$1,OLED-ALEPH,1,OLED128X64,
U1,TSSOP24,1,CS4270,
U11,SSOP6,1,TPS793,
X1,RASPI_BOARD_B+_EDGES_3DRILL,1,RASPI_BOARD_B+#_E3,
